No.of threads, Time
1, 497408.000000
2, 222168.000000
3, 218578.000000
4, 206744.000000
5, 250174.000000
6, 162306.000000
7, 211247.000000
8, 299003.000000
9, 205331.000000
10, 101417.000000
11, 104601.000000
12, 120193.000000
13, 129355.000000
14, 132601.000000
15, 139028.000000
16, 147842.000000
17, 165625.000000
18, 170012.000000
19, 184052.000000
20, 188521.000000
21, 194579.000000
22, 205127.000000
23, 216611.000000
24, 233115.000000
25, 235040.000000
26, 259119.000000
27, 252924.000000
28, 273558.000000
29, 279877.000000
30, 284863.000000
31, 288307.000000
32, 297158.000000
33, 311642.000000
34, 313425.000000
35, 333977.000000
36, 346758.000000
37, 363240.000000
38, 345710.000000
39, 368941.000000
40, 375708.000000
41, 388801.000000
42, 406712.000000
43, 475253.000000
44, 427579.000000
45, 435923.000000
46, 452731.000000
47, 458568.000000
48, 476166.000000
49, 467092.000000
50, 499518.000000
