No.of threads, Time
1, 2194648.000000
2, 1202254.000000
3, 890251.000000
4, 741505.000000
5, 640089.000000
6, 632766.000000
7, 604117.000000
8, 587788.000000
9, 467960.000000
10, 386093.000000
11, 428634.000000
12, 405716.000000
13, 404288.000000
14, 457146.000000
15, 389883.000000
16, 380473.000000
17, 365792.000000
18, 353454.000000
19, 362621.000000
20, 357370.000000
21, 353228.000000
22, 383123.000000
23, 372652.000000
24, 377771.000000
25, 386984.000000
26, 411534.000000
27, 402147.000000
28, 411694.000000
29, 413105.000000
30, 448411.000000
31, 458840.000000
32, 442162.000000
33, 466437.000000
34, 464732.000000
35, 474289.000000
36, 472208.000000
37, 488869.000000
38, 498118.000000
39, 521622.000000
40, 508841.000000
41, 519842.000000
42, 539900.000000
43, 558197.000000
44, 564942.000000
45, 630033.000000
46, 608184.000000
47, 599679.000000
48, 611503.000000
49, 619631.000000
50, 634147.000000
51, 640832.000000
52, 640843.000000
53, 656908.000000
54, 664121.000000
55, 667384.000000
56, 710473.000000
57, 704989.000000
58, 704987.000000
59, 725016.000000
60, 726450.000000
61, 707455.000000
62, 733697.000000
63, 734460.000000
64, 756758.000000
65, 756421.000000
66, 759222.000000
67, 769335.000000
68, 764819.000000
69, 1753587.000000
70, 785088.000000
71, 764274.000000
72, 766031.000000
73, 784753.000000
74, 802358.000000
75, 823333.000000
76, 811831.000000
77, 806946.000000
78, 824405.000000
79, 821617.000000
80, 841116.000000
81, 905641.000000
82, 974152.000000
83, 1075641.000000
84, 1045742.000000
85, 907851.000000
86, 922814.000000
87, 1092328.000000
88, 953242.000000
89, 940299.000000
90, 994287.000000
91, 1016125.000000
92, 984774.000000
93, 1008501.000000
94, 1015360.000000
95, 1018309.000000
96, 1061845.000000
97, 1057755.000000
98, 1026306.000000
99, 1088138.000000
100, 1053060.000000
